Length	Amplitude	Phase
187.97	-0.363028	-3.35697
188.283	2.9136	-1.44808
188.596	0.953516	-3.8399
188.91	0.369253	-2.82512
189.223	1.18084	-2.21041
189.536	-0.563521	-2.27822
189.85	2.97842	-2.96221
190.163	0.378173	-2.06502
190.476	-1.17182	-1.09103
190.79	-1.64829	-3.02591
191.103	0.400018	1.04037
191.416	-0.404786	0.591565
191.729	-0.778869	-2.02315
192.043	0.604948	-2.01033
192.356	-1.21839	-1.95719
192.669	-0.782744	-3.25257
192.982	-0.841453	-3.52052
193.296	2.28199	-3.47626
193.609	0.92953	-3.40206
193.922	2.38733	-2.71046
194.236	0.210295	-2.13942
194.549	0.268523	-2.42559
194.862	-0.563595	-1.56925
195.175	2.30026	-1.43076
195.489	-1.09868	-2.02378
195.802	-0.54676	-3.28397
196.115	0.078571	-1.55465
196.429	0.174626	-3.87988
196.742	-0.461124	-2.96067
197.055	0.244501	-2.37227
197.368	-0.066467	-3.70231
197.682	1.00023	-1.14197
197.995	-2.8325	-4.16458
198.308	-1.45668	-4.07642
198.622	0.611286	-3.71455
198.935	0.108496	-0.875695
199.248	-0.585513	-3.75858
199.561	1.88658	-4.20952
199.875	1.16376	-1.97423
200.188	0.886683	-4.68639
200.501	1.15802	-2.3399
200.815	1.09822	-2.11032
201.128	2.41855	-1.38368
201.441	-0.370699	-2.21443
201.754	-0.36036	-2.88696
202.068	0.685067	-3.1514
202.381	0.494904	-3.43057
202.694	-1.10162	-2.75676
203.007	3.45679	-2.825
203.321	0.218711	-4.49447
203.634	0.427752	-2.60078
203.947	0.991971	-3.37566
204.261	2.85927	-2.39095
204.574	-0.139108	-2.74096
204.887	-0.148734	-1.12523
205.201	-0.90766	-3.507
205.514	-0.882789	-2.96441
205.827	1.51459	-4.54643
206.14	0.163657	-2.11987
206.454	0.706058	-0.676527
206.767	0.809614	-0.691389
207.08	1.73503	-2.6612
207.393	2.67926	0.72918
207.707	-0.327177	-0.58011
208.02	0.187457	-2.66823
208.333	-2.87648	-1.57757
208.647	-0.984563	-0.327212
208.96	-0.00591605	-1.36533
209.273	0.682309	-2.30742
209.587	1.80954	-3.46736
209.9	0.369093	0.984406
210.213	0.965547	-0.504156
210.526	-0.0958289	-3.45525
210.84	2.53373	-0.480695
211.153	-0.134924	-3.03265
211.466	-1.59317	-2.72151
211.779	0.509069	-1.50451
212.093	-1.94688	-1.05069
212.406	0.0970555	-2.6035
212.719	-0.403694	-3.00339
213.033	1.3737	-4.59815
213.346	-1.48784	-1.33421
213.659	-0.23712	0.1816
213.972	-2.66404	-1.49486
214.286	-1.33576	-2.01947
214.599	-0.687135	-1.33335
214.912	0.832277	-3.91385
215.226	-2.8929	-0.035531
215.539	-0.581363	-3.766
215.852	0.837903	-2.73248
216.165	-0.968313	-5.16878
216.479	-0.266162	0.00158433
216.792	2.81348	-0.164722
217.105	0.582423	-1.49304
217.418	2.39334	0.853424
217.732	-3.32053	-2.44737
218.045	3.25631	-1.29654
218.358	2.1975	-2.30176
218.672	0.255581	-0.754906
218.985	0.361466	-4.47282
219.298	1.62701	-4.82559
219.612	-0.152714	-0.516715
219.925	-0.945628	-3.11893
220.238	1.92988	0.766805
220.551	2.08795	-1.43871
220.865	3.44332	-2.44853
221.178	0.577275	-3.15271
221.491	-0.254349	-2.52882
221.804	2.97222	-2.61896
222.118	1.89457	-2.99941
222.431	-0.070638	-1.62842
222.744	3.69574	-3.17344
223.058	-2.31392	-2.14953
223.371	1.08204	1.02625
223.684	2.50462	-0.327717
223.998	0.747249	-0.501075
224.311	-1.13345	-0.15427
224.624	-0.422995	-0.0273401
224.937	-0.349209	-2.48675
225.251	0.536817	-0.531354
225.564	1.91122	-3.41622
225.877	1.09388	3.13505
226.19	1.67799	-0.0141897
226.504	1.027	-2.56531
226.817	2.23484	-3.40353
227.13	2.13915	1.20668
227.444	-1.39007	-2.18969
227.757	2.1923	-1.33178
228.07	-2.01439	1.39724
228.383	3.51486	-0.420876
228.697	2.39847	-2.20152
229.01	2.18951	-3.07855
229.323	1.30637	-1.40805
229.637	-0.49292	1.06131
229.95	0.867536	-3.55139
230.263	-0.0410068	-3.49824
230.576	0.0103865	0.545623
230.89	-2.9386	-2.51527
231.203	-1.98548	-0.483395
231.516	0.7415	0.147441
231.83	-0.323682	-0.7335
232.143	1.13513	-4.86996
232.456	2.61396	-2.20096
232.769	2.06874	-1.88318
233.083	-0.276683	0.379668
233.396	1.55177	1.44416
233.709	-0.707971	-2.78235
234.023	1.27836	-0.918712
234.336	1.04492	-0.247978
234.649	1.77651	-2.26436
234.962	-2.35023	0.722891
235.276	3.51936	-2.93458
235.589	1.47015	-1.40134
235.902	-0.521412	-2.45885
236.215	3.17404	3.16623
236.529	3.12721	-1.22532
236.842	1.15845	-2.50771
237.155	0.35755	-2.18142
237.469	-0.451649	-4.90507
237.782	5.27385	-0.280495
238.095	0.429092	-3.36362
238.409	-1.49674	-3.74802
238.722	-0.0785076	-4.49853
239.035	1.05875	-0.350022
239.348	1.06143	-0.558357
239.662	3.81985	-1.77263
239.975	3.74791	1.62068
240.288	2.07167	-1.8243
240.601	0.449612	-2.86824
240.915	-1.26813	-2.43426
241.228	-0.387016	0.17432
241.541	2.76808	-0.242085
241.855	-0.277449	-0.639113
242.168	0.304035	-0.409241
242.481	2.4456	0.665443
242.794	-0.270206	0.111584
243.108	4.29641	1.6922
243.421	3.6261	-2.01239
243.734	2.449	-2.00818
244.048	-1.3741	-1.10443
244.361	4.2807	-0.935131
244.674	3.37308	-1.86176
244.988	2.69221	-0.452396
245.301	4.04752	-2.45798
245.614	0.742646	3.16414
245.927	1.02639	-3.57996
246.241	1.35241	-3.31132
246.554	1.40571	-1.80951
246.867	0.0251235	1.47678
247.18	1.39085	-2.59976
247.494	1.05041	0.506713
247.807	-2.02571	-0.374649
248.12	5.29103	-1.82795
248.434	0.132012	-5.07305
248.747	-1.30291	-4.67239
249.06	-1.14283	-1.42517
249.373	-0.216374	-0.247359
249.687	2.41541	-4.04452
250	0.250659	-0.60345
250.313	-0.0632135	0.572849
250.627	0.0199005	-1.54326
250.94	1.0807	1.78737
251.253	2.92605	-1.2862
251.566	1.86645	-3.22375
251.88	1.03817	-2.43266
252.193	1.51861	-0.444685
252.506	1.13924	-1.15217
252.82	-0.317404	-0.434541
253.133	2.58207	-1.08645
253.446	-1.04213	-4.08819
253.759	2.49744	-2.05764
254.073	1.53586	-0.61476
254.386	1.15362	-2.78609
254.699	0.201964	-1.65107
255.012	5.64225	-2.41612
255.326	0.708283	-2.36714
255.639	0.76181	-4.05229
255.952	2.96534	0.756206
256.266	3.52726	-6.1526
256.579	0.46584	-3.07247
256.892	-0.993524	-2.29849
257.205	1.52041	-1.97112
257.519	3.59157	1.17458
257.832	-1.9356	-2.39043
258.145	-0.660433	-1.8413
258.459	1.83141	-1.68229
258.772	0.722113	1.27858
259.085	2.1789	-2.71612
259.399	2.9972	-2.10398
259.712	0.350413	-0.814274
260.025	0.252931	-2.38313
260.338	-0.619499	-2.97633
260.652	-0.190309	-1.8138
260.965	3.42536	0.394609
261.278	2.51399	-1.90467
261.591	0.955912	-1.30077
261.905	2.02864	-1.30107
262.218	3.27307	-0.696221
262.531	2.13615	-1.15893
262.845	4.51898	0.888478
263.158	1.80434	-3.10006
263.471	1.45542	-1.95304
263.784	-0.579341	0.203505
264.098	3.97795	-2.01706
264.411	-0.544634	-1.68139
264.724	-0.0976715	-0.710448
265.038	1.01972	-2.15855
265.351	-1.90266	0.551746
265.664	1.80906	-5.35728
265.977	1.83388	-1.1822
266.291	0.228	1.14087
266.604	-0.67119	-0.668255
266.917	2.03737	-3.28087
267.231	0.032329	-1.23209
267.544	-2.44936	-2.78067
267.857	2.23937	-1.56484
268.17	-1.29774	-3.23177
268.484	-0.218374	0.127058
268.797	0.275552	1.56478
269.11	1.67352	-0.395803
269.424	2.13505	-2.21213
269.737	0.549666	0.641368
270.05	0.693653	0.0105419
270.363	0.0547438	-1.20479
270.677	1.45005	-0.271646
270.99	0.217603	-4.93139
271.303	-0.646136	-2.65965
271.616	-0.558231	-0.700391
271.93	1.02148	-0.613875
272.243	-1.43138	-2.20541
272.556	0.506582	-2.34455
272.87	1.79373	-3.20242
273.183	1.0451	-2.37969
273.496	3.36673	-0.149066
273.81	-1.26929	-0.979095
274.123	-0.302625	-2.11016
274.436	2.12207	-1.84205
274.749	4.08152	-2.80465
