Length	Amplitude	
244.674	0.316731
244.988	0.287298
245.301	0.268795
245.614	0.247015
245.927	0.20981
246.241	0.189899
246.554	0.158973
246.867	0.147386
247.18	0.157619
247.494	0.162168
247.807	0.135188
248.12	0.141222
248.434	0.0906075
248.747	0.0948321
249.06	0.0745396
249.373	0.0712364
249.687	0.0834321
250	0.0633714
250.313	0.0356595
250.627	0.0299364
250.94	0.00569736
251.253	-0.00854035
251.566	-0.0338141
251.88	-0.0349193
252.193	-0.0123025
252.506	-0.0064298
252.82	-0.018193
253.133	-0.0272611
253.446	-0.0193438
253.759	-0.0443941
254.073	-0.0469115
254.386	-0.0430252
254.699	-0.0310948
255.012	-0.0429813
255.326	-0.0527443
255.639	-0.00302385
255.952	-0.00590651
256.266	-0.0217577
256.579	-0.0166386
256.892	-0.0383628
257.205	-0.0463448
257.519	-0.0243042
257.832	-0.0528922
258.145	-0.0403787
258.459	-0.0506393
258.772	-0.0595701
259.085	-0.0861749
259.399	-0.14869
259.712	-0.176552
260.025	-0.233725
260.338	-0.236471
260.652	-0.320172
260.965	-0.423199
261.278	-0.475293
261.591	-0.483763
261.905	-0.554759
262.218	-0.677602
262.531	-0.779443
262.845	-0.864261
263.158	-0.928752
263.471	-1.00486
263.784	-1.05944
264.098	-1.09955
264.411	-1.16874
264.724	-1.20353
265.038	-1.21002
265.351	-1.24546
265.664	-1.24912
265.977	-1.25962
266.291	-1.19686
266.604	-1.11483
266.917	-1.03409
267.231	-0.953548
267.544	-0.888542
267.857	-0.804438
268.17	-0.768305
268.484	-0.699663
268.797	-0.558143
269.11	-0.359532
269.424	-0.0366708
269.737	0.0306907
270.05	0.108781
270.363	0.284439
270.677	0.365359
270.99	0.4339
271.303	0.461008
271.616	0.513418
271.93	0.536045
272.243	0.54107
272.556	0.529177
272.87	0.449713
273.183	0.390202
273.496	0.342202
273.81	0.198885
274.123	0.119448
274.436	0.0678503
274.749	0.0242777
275.063	-0.0240399
275.376	-0.0442995
275.689	-0.093333
276.002	-0.110667
276.316	-0.119724
276.629	-0.174064
276.942	-0.184902
277.256	-0.19366
277.569	-0.234635
277.882	-0.271559
278.195	-0.280222
278.509	-0.310318
278.822	-0.29507
279.135	-0.306459
279.449	-0.32291
279.762	-0.318677
280.075	-0.31095
280.389	-0.316701
280.702	-0.339086
281.015	-0.308819
281.328	-0.307835
281.642	-0.282791
281.955	-0.262105
282.268	-0.237951
282.582	-0.226555
282.895	-0.209093
283.208	-0.184761
283.521	-0.174277
283.835	-0.169611
284.148	-0.130768
284.461	-0.134083
284.774	-0.0858834
285.088	-0.0384888
285.401	-0.00515381
285.714	-0.00970122
286.028	-0.0212924
286.341	0.0113601
286.654	0.0389843
286.967	0.0328413
287.281	0.048346
287.594	0.0503342
287.907	0.0359488
288.221	0.0200776
288.534	0.0283731
288.847	0.04475
289.16	0.0248505
289.474	-0.0172199
289.787	-0.0236022
290.1	-0.0786542
290.413	-0.13518
290.727	-0.170756
291.04	-0.241384
291.353	-0.289121
291.667	-0.361144
291.98	-0.366371
292.293	-0.413852
292.606	-0.441914
292.92	-0.476173
293.233	-0.532054
293.546	-0.57031
293.86	-0.592766
294.173	-0.64373
294.486	-0.684947
294.8	-0.704443
295.113	-0.749015
295.426	-0.802628
295.739	-0.88745
296.053	-0.869199
296.366	-0.931893
296.679	-0.946143
296.993	-0.989707
297.306	-1.05211
297.619	-1.07617
297.932	-1.13516
298.246	-1.19301
298.559	-1.20818
298.872	-1.23346
299.185	-1.27205
299.499	-1.25395
299.812	-1.26119
300.125	-1.25532
300.439	-1.26976
300.752	-1.27644
301.065	-1.26411
301.378	-1.29086
301.692	-1.29382
